City,State,Latitude,Longitude,Elevation,Scenario/Code,Scenario/Year,Datetime,Dry Bulb Temperature,Dew Point Temperature,Relative Humidity,Atmospheric Station Pressure,Horizontal Infrared Radiation Intensity,Direct Normal Radiation,Diffuse Horizontal Radiation,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T00:00:00.000000,24.2,23.4,95,99014,416,0,0,11,1.5,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T01:00:00.000000,23.5,22.6,95,99014,398,0,0,104,0.5,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T02:00:00.000000,23.7,22.6,94,99014,404,0,0,128,0.4,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T03:00:00.000000,23.5,22.6,95,99014,407,0,0,14,0.5,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T04:00:00.000000,23.4,22.6,95,99014,406,0,0,18,1.0,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T05:00:00.000000,22.4,22.0,98,99077,415,0,0,1,1.4,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T06:00:00.000000,22.0,22.0,100,99085,409,100,24,346,0.0,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T07:00:00.000000,23.0,23.0,100,99092,406,163,76,343,0.0,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T08:00:00.000000,24.0,24.0,100,99099,405,101,132,334,0.0,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T09:00:00.000000,25.0,24.0,94,99099,416,124,184,337,0.0,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T10:00:00.000000,25.0,24.0,94,99114,419,197,250,340,3.1,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T11:00:00.000000,27.0,24.0,84,99129,425,286,317,330,3.1,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T12:00:00.000000,29.0,24.0,74,99136,424,346,323,320,3.1,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T13:00:00.000000,30.0,24.0,70,99143,425,503,256,300,4.1,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T14:00:00.000000,31.0,25.0,70,99136,427,709,158,300,2.6,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T15:00:00.000000,30.0,25.0,75,99143,415,713,96,300,2.6,5,5
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T16:00:00.000000,31.0,25.0,70,99150,420,641,73,300,2.6,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T17:00:00.000000,32.0,25.0,67,99136,417,536,45,300,2.6,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T18:00:00.000000,30.0,25.0,75,99121,410,0,16,319,0.0,5,5
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T19:00:00.000000,28.0,24.0,79,99085,409,0,0,322,0.0,5,5
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T20:00:00.000000,23.0,18.8,77,99085,411,0,0,339,0.0,7,7
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T21:00:00.000000,26.8,22.6,78,99085,413,0,0,0,2.1,7,7
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T22:00:00.000000,25.8,22.5,82,99085,409,0,0,16,2.2,8,8
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-01T23:00:00.000000,24.0,22.2,90,99085,412,0,0,18,2.0,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-02T00:00:00.000000,23.8,22.3,91,99085,415,0,0,32,1.7,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-02T01:00:00.000000,23.5,22.1,92,99085,409,0,0,20,1.7,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-02T02:00:00.000000,23.4,22.0,92,99085,404,0,0,17,1.7,9,9
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-02T03:00:00.000000,22.9,21.7,93,99085,412,0,0,13,1.6,10,10
Cruzeiro do Sul Intl AP,AC,-7.6,-72.769,194.2,baseline,2021,2017-01-02T04:00:00.000000,22.7,21.7,94,99085,407,0,0,3,1.5,10,10
